Track name, Artist name, Album, Playlist name, Type, ISRC
Toccata and Fugue in D minor,Johann Sebastian Bach,Great Organ Classics,This Is Bach,Playlist track,GBARU9700211
"Unaccompanied Cello Suite No. 1 in G major, BWV 1007: I. Prélude",Johann Sebastian Bach,Six Evolutions - Bach: Cello Suites,This Is Bach,Playlist track,USQX91801089
"Wachet auf, ruft uns die Stimme, Cantata BWV 140: 4. ""Zion hört die Wächter singen""",Johann Sebastian Bach,"Bach, J.S.: Cantata BWV 140, Magnificat BWV 243",This Is Bach,Playlist track,DEF057803511
"Bach, JS / Orch. Marriner: Was mir behagt, ist nur die muntre Jagd, BWV 208: IX. Schafe können sicher weiden",Johann Sebastian Bach,The Best of the Academy,This Is Bach,Playlist track,GBAYC8300192
"Violin Concerto in A Minor, BWV 1041: II. Andante",Johann Sebastian Bach,"Bach, J.S.: Violin Concertos, Bwv 1041-1043 and Bwv 1052",This Is Bach,Playlist track,HKI199910702
"Goldberg Variations, BWV 988: Variatio 7 a 1 ovvero 2 Clav. Al tempo di Giga",Johann Sebastian Bach,Bach: Goldberg Variations (Deluxe Edt. Studio + Live),This Is Bach,Playlist track,DEN962030108
"St. Matthew Passion, BWV 244: Pt. I: No. 1, Chorus. Kommt, ihr Tochter, helft mir klagen (Chorus, Soprano in ripieno)",Johann Sebastian Bach,"Bach, J.S.: St. Matthew Passion",This Is Bach,Playlist track,HKI190584401
"Keyboard Concerto No. 5 in F Minor, BWV 1056: II. Largo",Johann Sebastian Bach,Bach: A Strange Beauty,This Is Bach,Playlist track,USSM11002793
"Goldberg Variations, BWV 988: Variation 3 a 1 Clav. Canone all'Unisono",Johann Sebastian Bach,"Bach: The Goldberg Variations, BWV 988 (1981 Gould Remaster)",This Is Bach,Playlist track,USSM11409810
"Orchestral Suite No. 2 in B Minor, BWV 1067: VII. Badinerie",Johann Sebastian Bach,Bach: Overtures (Suites) Nos. 1-4,This Is Bach,Playlist track,HKI199911314
"Violin Partita No. 3 in E Major, BWV 1006 (arr. P. Galbraith): III. Gavotte en rondeau",Johann Sebastian Bach,"Bach, J.S.: Sonatas and Partitas (Arr. for Guitar)",This Is Bach,Playlist track,USASX0823228
"Lute Suite in E Minor, BWV 996 (Arr. J. Williams for Guitar): IV. Sarabande",Johann Sebastian Bach,"Bach: Lute Suites, Vol. I",This Is Bach,Playlist track,GBCLS7502064
"Herz und Mund und Tat und Leben, Cantata BWV 147: Jesu, Joy Of Man's Desiring, BWV 147",Johann Sebastian Bach,The King's Collection,This Is Bach,Playlist track,GBF079612500
"Goldberg-Variationen, BWV 988: I. Aria",Johann Sebastian Bach,"Bach: Goldberg Variations - Preludes & Fugues, Vol. 1",This Is Bach,Playlist track,GBABV0958763
"Organ Sonata No. 4, BWV 528: II. Andante [Adagio] (Transcr. by August Stradal)",Johann Sebastian Bach,Johann Sebastian Bach,This Is Bach,Playlist track,DEN961830305
"Violin Concerto in D Minor, BWV 1052: I. Allegro",Johann Sebastian Bach,"Bach, J.S.: Violin Concertos, Bwv 1041-1043 and Bwv 1052",This Is Bach,Playlist track,HKI199910707
"Orchestral Suite No. 2 in B Minor, BWV 1067: I. Ouverture",Johann Sebastian Bach,J.S. Bach: Alto Arias,This Is Bach,Playlist track,GBASH0115801
"Gottes Zeit ist die allerbeste Zeit, Sonatina az ""Actus tragicus""-ból, BWV 106",Johann Sebastian Bach,"Kurtág, Bach: Játékok",This Is Bach,Playlist track,DEB339661913
"Prelude & Fugue in C Minor (Well-Tempered Clavier, Book I, No. 2), BWV 847: I. Prelude",Johann Sebastian Bach,Johann Sebastian Bach,This Is Bach,Playlist track,DEN961830309
"Violin Partita No. 3 in E Major, BWV 1006: I. Preludio",Johann Sebastian Bach,"Bach: Violin Partitas Nos. 2, 3 & Violin Sonata No. 3",This Is Bach,Playlist track,USSM19604968
"Goldberg Variations, BWV 988: Var. 1",Johann Sebastian Bach,"Bach: Goldberg Variations, BWV 988",This Is Bach,Playlist track,USSM10007938
"Sinfonia in D Major, BWV 1045: III. Allegro",Johann Sebastian Bach,"Bach, J.S.: Harpsichord Concertos, Vol. 2",This Is Bach,Playlist track,HKI199910903
"Concerto in D Minor, BWV 974: II. Adagio",Johann Sebastian Bach,"J.S. Bach: Concerto in D Minor, BWV 974, 2. Adagio",This Is Bach,Playlist track,DEN961830331
"Orchestral Suite No. 2 in B Minor, BWV 1067: V. Polonaise - Double",Johann Sebastian Bach,Academy for Ancient Music,This Is Bach,Playlist track,USB8U1012761
"Bach, JS: Concerto for 4 Pianos in A Minor, BWV 1065: II. Largo",Johann Sebastian Bach,"J.S. Bach Piano Concertos BWV1052, 1054, 1056, 1058, 1065",This Is Bach,Playlist track,GBAYC1102589
"Brandenburg Concerto No. 3 in G Major, BWV 1048: I. [Allegro]",Johann Sebastian Bach,Bach: Six Concertos for the Margrave of Brandenburg,This Is Bach,Playlist track,GBELX0702560
"Concerto in D Minor for Two Violins, BWV 1043: Concerto in D Minor for Two Violins, BWV 1043: II. Largo ma non tanto",Johann Sebastian Bach,J.S. Bach: Solo & Double Violin Concertos,This Is Bach,Playlist track,USHM19615502
"Brandenburg Concerto No.5 in D, BWV 1050: 1. Allegro",Johann Sebastian Bach,"Bach, J.S.: Brandenburg Concertos etc.",This Is Bach,Playlist track,GBF076810651
"Flute Sonata in C Major, BWV 1033: II. Allegro",Johann Sebastian Bach,"Bach, J.S.: Flute Sonatas, Vol. 2",This Is Bach,Playlist track,HKI199608712
"Violin Partita No. 3 in E Major, BWV 1006: II. Loure",Johann Sebastian Bach,Bach: Violin Sonatas & Partitas,This Is Bach,Playlist track,FINDE1700082
"Concerto for 2 Keyboards in C Minor, BWV 1062: II. Andante e piano",Johann Sebastian Bach,"Bach, J.S.: Harpsichord Concertos, Vol. 3",This Is Bach,Playlist track,HKI199911008
"St. Matthew Passion, BWV 244: Pt. II: Aria. Erbarme dich, mien Gott (Alto)",Johann Sebastian Bach,"Bach, J.S.: St. Matthew Passion",This Is Bach,Playlist track,US2TL0940539
"Keyboard Concerto No. 5 in F Minor, BWV 1056: I. [Allegro]",Johann Sebastian Bach,Bach: A Strange Beauty,This Is Bach,Playlist track,USSM11002792
"Sinfonia in D Major, BWV 1045: I. Allegro",Johann Sebastian Bach,"Bach, J.S.: Harpsichord Concertos, Vol. 2",This Is Bach,Playlist track,HKI199910901
"Flute Partita in A Minor, BWV 1013: I. Allemande",Johann Sebastian Bach,Bach: Die Authentischen Flötensonaten,This Is Bach,Playlist track,DEU921242415
"Mass in B Minor, BWV 232: Aria. Agnus Dei",Johann Sebastian Bach,J.S. Bach: Alto Arias,This Is Bach,Playlist track,GBASH0115806
"Concerto in the Italian Style in F Major, BWV 971: I. Allegro",Johann Sebastian Bach,"Bach, J.S.: Favourite Piano Works",This Is Bach,Playlist track,HKI199631102
"Concerto for 2 Keyboards in C Minor, BWV 1062: I. Allegro",Johann Sebastian Bach,"Bach, J.S.: Harpsichord Concertos, Vol. 3",This Is Bach,Playlist track,HKI199911007
"St. Matthew Passion, BWV 244: Pt. I: No. 6, Aria. Buss und Reu (Alto)",Johann Sebastian Bach,"Bach, J.S.: St. Matthew Passion",This Is Bach,Playlist track,HKI190584406
"Bach, J.S.: Violin Partita No. 2 in D Minor, BWV 1004: V. Chaconne",Johann Sebastian Bach,Bach - Solo Violin Sonatas,This Is Bach,Playlist track,GBAYC8700983
"Matthäus-Passion: Erster Teil, 1. Chorus I & II Kommt, ihr Töchter, helft mir klagen",Johann Sebastian Bach,"J.S. Bach: St Matthew Passion, BWV 244 (Matthäus-Passion)",This Is Bach,Playlist track,FRZ141220010
"Schweigt stille, plaudert nicht Cantata, BWV 211 ""Coffee Cantata"": 4. Arie: Ei! wie smeckt Coffee süße",Johann Sebastian Bach,Emma Kirkby - A Portrait,This Is Bach,Playlist track,GBF078611870
"Concerto in D Minor for Two Violins, BWV 1043: Concerto in D Minor for Two Violins, BWV 1043: I. Vivace",Johann Sebastian Bach,J.S. Bach: Solo & Double Violin Concertos,This Is Bach,Playlist track,USHM19615501
"An Wasserflüssen Babylon, BWV 653b",Johann Sebastian Bach,A Bach Notebook for Trumpet,This Is Bach,Playlist track,GBASH1341802
"Flute Sonata in E Minor, BWV 1034: III. Andante",Johann Sebastian Bach,"Bach, J.S.: Flute Sonatas, Vol. 1",This Is Bach,Playlist track,HKI199608603
"Weihnachts-Oratorium, BWV 248, Pt. 1: Jauchzet, frohlocket",Johann Sebastian Bach,"Bach: Weihnachts-Oratorium, BWV 248",This Is Bach,Playlist track,HKI191817201
"The Well-Tempered Clavier: Book 1, BWV 846-869: 1. Prelude",Johann Sebastian Bach,Bach: The Well-Tempered Clavier I,This Is Bach,Playlist track,DEN961400701
"Brandenburg Concerto No. 3 in G Major, BWV 1048: II. [Adagio]",Johann Sebastian Bach,Bach: Six Concertos for the Margrave of Brandenburg,This Is Bach,Playlist track,GBELX0702561
Nun danket alle Gott BWV 386,"Choir of King's College, Cambridge",Bach: Magnificat in D etc.,This Is Bach,Playlist track,GBAYC0000808
"Concerto No. 4 in G major, BWV 1049: II. Andante",Johann Sebastian Bach,J. S. Bach: Brandenburg Concertos,This Is Bach,Playlist track,FRZ141310070
"Violin Partita No. 3 in E Major, BWV 1006: II. Loure",Johann Sebastian Bach,"Bach: Violin Partitas Nos. 2, 3 & Violin Sonata No. 3",This Is Bach,Playlist track,USSM19604969
"Sonata for Viola da Gamba No. 3 in G Minor, BWV 1029: II. Adagio",Johann Sebastian Bach,Bach Trios,This Is Bach,Playlist track,USNO11601167
"Harpsichord Concerto in E Major, BWV 1053: I. Allegro",Johann Sebastian Bach,"Bach, J.S.: Harpsichord Concertos, Vol. 1",This Is Bach,Playlist track,HKI199910804
"Concerto No. 4 in G major, BWV 1049: I. Allegro",Johann Sebastian Bach,J. S. Bach: Brandenburg Concertos,This Is Bach,Playlist track,FRZ141310060
"Unaccompanied Cello Suite No. 1 in G major, BWV 1007: IV. Sarabande",Johann Sebastian Bach,Six Evolutions - Bach: Cello Suites,This Is Bach,Playlist track,USQX91801092
"Erster Teil - Jauchzet, Frohlocket, Auf, Preiset Die Tage: Aria (Bass) - Großer Herr, O Starker König (Bach)",Johann Sebastian Bach,"Bach: Weihnachtsoratorium, BWV 248",This Is Bach,Playlist track,GBCRW0571208
"Keyboard Concerto in A Major, BWV 1055: I. Allegro",Johann Sebastian Bach,"Bach, J.S.: Harpsichord Concertos, Vol. 1",This Is Bach,Playlist track,HKI199910807
"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air",Johann Sebastian Bach,Orpheus Chamber Orchestra - Baroque Highlights,This Is Bach,Playlist track,DEF058902770
Keyboard Concerto in A Minor BWV 1065: I. Allegro,Johann Sebastian Bach,"J.S. Bach Piano Concertos BWV1052, 1054, 1056, 1058, 1065",This Is Bach,Playlist track,GBAYC1102588
"Widerstehe doch der Sünde, BWV 54 (Transcr. by Víkingur Ólafsson)",Johann Sebastian Bach,Johann Sebastian Bach,This Is Bach,Playlist track,DEN961830311
"Sonata No. 2 for Violin & Harpsichord in A Major, BWV 1015: IV. Presto",Johann Sebastian Bach,"Bach, J.S.: Sonatas for Violin and Harpsichord, Vol. 1",This Is Bach,Playlist track,HKI199910508
"St. Matthew Passion, BWV 244 - Part One: 1. Kommt, ihr Töchter, helft mir klagen",Johann Sebastian Bach,"Bach, J.S.: St. Matthew Passion BWV 244",This Is Bach,Playlist track,GBF078740501
"Prelude No. 3 in C# Major from The Well-Tempered Clavier Book I, BWV 848",Brad Mehldau,After Bach,This Is Bach,Playlist track,USNO11700877
"Sarabande, BWV 1012 - Cello Suite No. 6, Arr. Fryer",Johann Sebastian Bach,A Bach Notebook for Trumpet,This Is Bach,Playlist track,GBASH1341820
"Weihnachts-Oratorium, BWV 248, Pt. 2: Schlafe, mein Liebster",Johann Sebastian Bach,"Bach: Weihnachts-Oratorium, BWV 248",This Is Bach,Playlist track,HKI191817219
"Suite for Solo Cello No. 6 in D Major, BWV 1012: V. Gavotte I-II",Johann Sebastian Bach,Bach: Six Suites for Solo Cello,This Is Bach,Playlist track,DEF059903375
"Weihnachts-Oratorium, BWV 248, Pt. 1: Pt. II: Sinfonia",Johann Sebastian Bach,"Bach, J.S.: Christmas Oratorio",This Is Bach,Playlist track,USB8U1013369
"Sonata in E-Flat, BWV 1031: Siciliana",Johann Sebastian Bach,The Best Of James Galway,This Is Bach,Playlist track,USBC19300406
"Mass in B Minor, BWV 232: Kyrie eleison (Chorus)",Johann Sebastian Bach,Bach: Mass in B Minor,This Is Bach,Playlist track,US2TL0940101
