Track name, Artist name, Album, Playlist name, Type, ISRC
All Day,Kanye West,All Day,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USUM71502482
No Type,Rae Sremmurd,No Type,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USUM71413477
Grief,Earl Sweatshirt,Grief,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USQX91500425
The Blacker The Berry,Kendrick Lamar,To Pimp A Butterfly,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USUM71501986
Baby Blue (feat. Chance the Rapper),Action Bronson,Mr. Wonderful,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USAT21500295
See You Again (feat. Charlie Puth),Wiz Khalifa,Furious 7: Original Motion Picture Soundtrack,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USAT21500313
Hotel (feat. Chris Brown),Kid Ink,Full Speed,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USRC11403160
The Matrimony (feat. Usher),Wale,The Matrimony (feat. Usher),Top 100 Hip-Hop Tracks on Spotify,Playlist track,USAT21500518
Blessings,Big Sean,Dark Sky Paradise,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USUM71501158
Know Yourself,Drake,If You're Reading This It's Too Late,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USUM71502037
GDFR (feat. Sage the Gemini & Lookas),Flo Rida,GDFR (feat. Sage The Gemini & Lookas),Top 100 Hip-Hop Tracks on Spotify,Playlist track,USAT21404117
Peaches N Cream (feat. Charlie Wilson),Snoop Dogg,Peaches N Cream (feat. Charlie Wilson),Top 100 Hip-Hop Tracks on Spotify,Playlist track,USQX91500025
That's Love,Oddisee,That's Love - Single,Top 100 Hip-Hop Tracks on Spotify,Playlist track,QM6N21488543
Trouble,Iggy Azalea,Reclassified,Top 100 Hip-Hop Tracks on Spotify,Playlist track,GBUM71405575
One Time,Migos,One Time,Top 100 Hip-Hop Tracks on Spotify,Playlist track,QMCE31500193
Lord Pretty Flacko Jodye 2 (LPFJ2),A$AP Rocky,Lord Pretty Flacko Jodye 2 (LPFJ2),Top 100 Hip-Hop Tracks on Spotify,Playlist track,USRC11500001
Apparently,J. Cole,2014 Forest Hills Drive,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USQX91402613
All I Need (One Mo Drank) (feat. K Camp),Juicy J,All I Need (One Mo Drank) (feat. K Camp),Top 100 Hip-Hop Tracks on Spotify,Playlist track,USSM11501247
I Don't Mind (feat. Juicy J),Usher,I Don't Mind (feat. Juicy J),Top 100 Hip-Hop Tracks on Spotify,Playlist track,USRC11402426
Charge It To The Rap Game,Ludacris,Charge It To The Rap Game,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USUM71502540
Vet Lungs,Chief Keef,Sneakin & Geekin (Hosted by DJ E Dub),Top 100 Hip-Hop Tracks on Spotify,Playlist track,QM6N21495077
CoCo - Flosstradamus Remix,O.T. Genasis,CoCo: The Global Remixes,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USAT21500700
Seen It All,Jeezy,Seen It All: The Autobiography (Deluxe),Top 100 Hip-Hop Tracks on Spotify,Playlist track,USUM71409649
I'm Grown,G-Unit,The Beast Is G Unit,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USV6R1550002
Lifestyle,Rich Gang,Lifestyle,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USCM51400196
Whoa Whoa Whoa,Watsky,All You Can Do,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USJPQ1400091
Man Of The Year,ScHoolboy Q,Oxymoron,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USUM71314029
Christ Conscious,Joey Bada$$,B4.DA.$$,Top 100 Hip-Hop Tracks on Spotify,Playlist track,QMKSC1400031
Off-set,T.I.,Furious 7: Original Motion Picture Soundtrack,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USAT21500431
Hot N*gga,Bobby Shmurda,Shmurda She Wrote,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USSM11405787
F*ck Up Some Commas,Future,F*ck Up Some Commas,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USSM11500953
"Hold You Down (feat. Chris Brown, August Alsina, Future & Jeremih)",DJ Khaled,"Hold You Down (feat. Chris Brown, August Alsina, Future & Jeremih)",Top 100 Hip-Hop Tracks on Spotify,Playlist track,USCM51400290
Oh My Darling Don't Cry,Run The Jewels,Run the Jewels 2,Top 100 Hip-Hop Tracks on Spotify,Playlist track,QM8RL1400014
She Wildin',Fabolous,The Young OG Project,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USUM71417888
Not for Long (feat. Trey Songz),B.o.B,Not for Long (feat. Trey Songz),Top 100 Hip-Hop Tracks on Spotify,Playlist track,USAT21404111
Lil Bit,K CAMP,Lil Bit,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USUM71500110
B Boy (feat. Big Sean & A$AP Ferg),Meek Mill,B Boy (feat. Big Sean & A$AP Ferg),Top 100 Hip-Hop Tracks on Spotify,Playlist track,USAT21403209
Pay for It (feat. Kendrick Lamar & Chantal),Jay Rock,Pay for It (feat. Kendrick Lamar & Chantal),Top 100 Hip-Hop Tracks on Spotify,Playlist track,TCACB1407358
Chasing Time,Azealia Banks,Broke With Expensive Taste,Top 100 Hip-Hop Tracks on Spotify,Playlist track,US5Z51400608
Confess,Fashawn,The Ecology,Top 100 Hip-Hop Tracks on Spotify,Playlist track,QM8RL1400051
Mural,Lupe Fiasco,Tetsuo & Youth,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USAT21405269
Walk Thru (feat. Problem),Rich Homie Quan,Walk Thru (feat. Problem) - Single,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USUYG1040637
Love Don't Live Here No More (feat. Kandace Springs),Ghostface Killah,36 Seasons,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USTB11400472
Cadillactica,Big K.R.I.T.,Cadillactica (Deluxe),Top 100 Hip-Hop Tracks on Spotify,Playlist track,USUM71414570
Drinks On Us,Mike WiLL Made-It,Drinks On Us,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USUM71501876
That's My Shit,The-Dream,That’s My Shit,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USUM71418159
Ill Mind of Hopsin 7,Hopsin,Ill Mind of Hopsin 7,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USWB11401936
Errrbody,Yo Gotti,Errrbody,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USSM11405589
I Don't Get Tired (#IDGT) [feat. August Alsina],Kevin Gates,I Don't Get Tired (#IDGT) [feat. August Alsina],Top 100 Hip-Hop Tracks on Spotify,Playlist track,USAT21404946
Sweet Serenade,Pusha T,My Name Is My Name,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USUM71311958
Bend Ova (feat. Tyga),Lil Jon,Bend Ova (feat. Tyga),Top 100 Hip-Hop Tracks on Spotify,Playlist track,QMEPP1400100
Irish Celebration,Macklemore,Irish Celebration,Top 100 Hip-Hop Tracks on Spotify,Playlist track,GMM881400001
Make It Work,Tyga,Make It Work - Single,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USUYG1055053
Dark Comedy Late Show,Open Mike Eagle,A Special Episode - EP,Top 100 Hip-Hop Tracks on Spotify,Playlist track,QM6N21437902
Blue Suede,Vince Staples,Blue Suede,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USUM71411220
Vegas,Bad Meets Evil,SHADYXV,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USUM71415911
