Track name, Artist name, Album, Playlist name, Type, ISRC
Enter Sandman,Metallica,Metallica,Metal's Most Streamed,Playlist track,USEE10001992
Paranoid - 2012 - Remaster,Black Sabbath,Complete Studio Albums 1970 - 1978,Metal's Most Streamed,Playlist track,USWB11304628
Psychosocial,Slipknot,All Hope Is Gone,Metal's Most Streamed,Playlist track,NLA320886993
Ace Of Spades,Motörhead,The Best Of Motorhead: All The Aces/ The Muggers Tapes,Metal's Most Streamed,Playlist track,GBAJE8000033
Coming Down,Five Finger Death Punch,American Capitalist,Metal's Most Streamed,Playlist track,US5Z50900077
Freak On a Leash,Korn,Follow The Leader,Metal's Most Streamed,Playlist track,USSM19801755
Bodies,Drowning Pool,Sinner,Metal's Most Streamed,Playlist track,USWU30006502
Breaking the Law,Judas Priest,Playlist: The Very Best of Judas Priest,Metal's Most Streamed,Playlist track,GBBBN0202448
Master Of Puppets,Metallica,Master Of Puppets,Metal's Most Streamed,Playlist track,USEV19900002
Raining Blood,Slayer,Reign In Blood,Metal's Most Streamed,Playlist track,USSM18600241
Cowboys from Hell,Pantera,Cowboys from Hell,Metal's Most Streamed,Playlist track,USEE10170414
Iron Man - 2012 - Remaster,Black Sabbath,Paranoid (Remaster),Metal's Most Streamed,Playlist track,USWB11304630
AMERIKA,Rammstein,"REISE, REISE",Metal's Most Streamed,Playlist track,DEN120404987
Fear of the Dark,Iron Maiden,Fear of the Dark,Metal's Most Streamed,Playlist track,GBCHB9810022
Nightmare,Avenged Sevenfold,Nightmare,Metal's Most Streamed,Playlist track,USWB11001149
Rainbow in the Dark,Dio,The Very Beast of Dio,Metal's Most Streamed,Playlist track,USWB19903259
Walk,Pantera,Vulgar Display of Power,Metal's Most Streamed,Playlist track,USEE10170088
Symphony Of Destruction,Megadeth,Greatest Hits: Back To The Start,Metal's Most Streamed,Playlist track,USCA20400616
Redneck,Lamb of God,Sacrament,Metal's Most Streamed,Playlist track,USSM10602528
Locust,Machine Head,Unto the Locust (Special Edition),Metal's Most Streamed,Playlist track,NLA321191503
Far From Home,Five Finger Death Punch,War Is The Answer,Metal's Most Streamed,Playlist track,US5Z50900006
Down with the Sickness,Disturbed,The Sickness (10th Anniversary Edition),Metal's Most Streamed,Playlist track,USRE10902084
The Devil in I,Slipknot,.5: The Gray Chapter (Special Edition),Metal's Most Streamed,Playlist track,NLA321400348
Last Resort,Papa Roach,Infest,Metal's Most Streamed,Playlist track,USDW10021712
Coming Undone,Korn,See You On The Other Side,Metal's Most Streamed,Playlist track,USVI20500588
Madhouse,Anthrax,Spreading The Disease,Metal's Most Streamed,Playlist track,USIR20000364
Through Glass,Stone Sour,Come What(ever) May [Special Edition],Metal's Most Streamed,Playlist track,NLA320682289
"I Stand Alone - From ""The Scorpion King"" Soundtrack",Godsmack,"Good Times, Bad Times - Ten Years of Godsmack",Metal's Most Streamed,Playlist track,USUM70759247
Happy?,Mudvayne,Lost and Found,Metal's Most Streamed,Playlist track,USSM10500054
Holy Diver,Killswitch Engage,As Daylight Dies (Special Edition),Metal's Most Streamed,Playlist track,NLA320785927
Crazy Train,Ozzy Osbourne,Blizzard of Ozz (Expanded Edition),Metal's Most Streamed,Playlist track,USSM11002845
Break Stuff,Limp Bizkit,Greatest Hitz,Metal's Most Streamed,Playlist track,USIR19902309
Run to the Hills,Iron Maiden,Somewhere Back In Time - The Best of 1980-1989,Metal's Most Streamed,Playlist track,GBAYE9801382
The Beautiful People,Marilyn Manson,Lest We Forget - The Best Of,Metal's Most Streamed,Playlist track,USIR19601008
