Track name, Artist name, Album, Playlist name, Type, ISRC
I Bet,Ciara,I Bet,Top 100 R&B Tracks on Spotify,Playlist track,USSM11500083
Want to Want Me,Jason Derulo,Want to Want Me,Top 100 R&B Tracks on Spotify,Playlist track,USWB11503046
Slow Motion,Trey Songz,Slow Motion,Top 100 R&B Tracks on Spotify,Playlist track,USAT21405436
Really Love,D'Angelo,Black Messiah,Top 100 R&B Tracks on Spotify,Playlist track,USRC11403099
You Changed Me (feat. Chris Brown),Jamie Foxx,You Changed Me (feat. Chris Brown),Top 100 R&B Tracks on Spotify,Playlist track,USRC11402847
F*ck Love,Trina,F*ck Love - Single,Top 100 R&B Tracks on Spotify,Playlist track,USUYG1053197
One Moment,Monifah,One Moment,Top 100 R&B Tracks on Spotify,Playlist track,USQY51530695
7/11,Beyoncé,BEYONCÉ [Platinum Edition],Top 100 R&B Tracks on Spotify,Playlist track,USSM11408532
She Knows,Ne-Yo,Non-Fiction (Deluxe),Top 100 R&B Tracks on Spotify,Playlist track,USUM71413555
Planes,Jeremih,Planes,Top 100 R&B Tracks on Spotify,Playlist track,USUM71404620
I Don't Mind (feat. Juicy J),Usher,I Don't Mind (feat. Juicy J),Top 100 R&B Tracks on Spotify,Playlist track,USRC11402426
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,"Earned It (Fifty Shades Of Grey) [From The ""Fifty Shades Of Grey"" Soundtrack]",Top 100 R&B Tracks on Spotify,Playlist track,USUG11401951
"Meet Me In The Middle - From The ""Fifty Shades Of Grey"" Soundtrack",Jessie Ware,Fifty Shades Of Grey (Original Motion Picture Soundtrack),Top 100 R&B Tracks on Spotify,Playlist track,GBUM71500069
Somebody,Natalie La Rose,Somebody,Top 100 R&B Tracks on Spotify,Playlist track,USUM71417961
All Hands On Deck REMIX (feat. Iggy Azalea),Tinashe,All Hands On Deck REMIX (feat. Iggy Azalea),Top 100 R&B Tracks on Spotify,Playlist track,USRC11500053
Coming With You,Ne-Yo,Non-Fiction (Deluxe),Top 100 R&B Tracks on Spotify,Playlist track,USUM71415478
Baby Don't Lie,Gwen Stefani,Baby Don't Lie,Top 100 R&B Tracks on Spotify,Playlist track,USUM71414974
Double Tap (feat. 2 Chainz),Jordin Sparks,Double Tap (feat. 2 Chainz),Top 100 R&B Tracks on Spotify,Playlist track,USQX91500072
Nobody Love,Tori Kelly,Nobody Love,Top 100 R&B Tracks on Spotify,Playlist track,USUM71417965
All of Me,John Legend,Love In The Future (Expanded Edition),Top 100 R&B Tracks on Spotify,Playlist track,USSM11303954
Sandwich And A Soda,Tamia,Sandwich And A Soda,Top 100 R&B Tracks on Spotify,Playlist track,USUM71501949
Get You Alone (Featuring Jeremih),Maejor,Get You Alone (Featuring Jeremih),Top 100 R&B Tracks on Spotify,Playlist track,CA5KR1058582
How Bad Do You Want It (Oh Yeah),Sevyn Streeter,How Bad Do You Want It (Oh Yeah),Top 100 R&B Tracks on Spotify,Playlist track,USAT21500309
Worth It (feat. Kid Ink),Fifth Harmony,Reflection (Deluxe),Top 100 R&B Tracks on Spotify,Playlist track,USSM11406644
L.A.LOVE (la la),Fergie,L.A.LOVE (la la),Top 100 R&B Tracks on Spotify,Playlist track,USUM71414575
I Think I'm In Love,Kat Dahlia,My Garden,Top 100 R&B Tracks on Spotify,Playlist track,USSM11408712
